a,##
acupuncture,{kjUpVNkJ@
acute,@kjut
adage,{dI_
adamant,{d@m@nt
adapt,@d{pt
add,{d
addendum,@dEnd@m
adder,{d@
addict,@dIkt
addle,{d@l
address,@drEs
adduce,@djus
adenoids,{dIn4dz
adept,{dEpt
adequate,{dIkw@t
adhere,@dh7
adipose,{dIp5s
adjacent,@_1s@nt
adjective,{_IktIv
adjourn,@_3n
adjudicate,@_udIk1t
adjunct,{_VNkt
adjure,@_9
adjust,@_Vst
adjutant,{_Ut@nt
admiral,{dm@r@l
admire,@dm2@
admit,@dmIt
admonish,@dmQnIS
adobe,@d5bI
adolescent,{d5lEs@nt
adore,@d$
adorn,@d$n
adulate,{_Ul1t
adult,{dVlt
adumbrate,{dVmbr1t
advance,@dv#ns
advent,{dv@nt
adventitious,{dvEntIS@s
adverse,{dv3s
advertent,@dv3t@nt
advertise,{dv@t2z
advise,@dv2z
advocate,{dv@k1t
advowson,@dv6z@n
adze,{dz
aegis,i_Is
aeon,i@n
aerate,1@r1t
aerial,8r7l
aerobatic,8r5b{tIk
aertex,8tEks
aesthete,isTit
affable,{f@b@l
affair,@f8
affect,@fEkt
affiance,@f2@ns
affidavit,{fId1vIt
affiliate,@fIlI1t
affine,{f2n
afflatus,@fl1t@s
afflict,@flIkt
affluent,{flU@nt
afford,@f$d
affranchise,@fr{nJ2z
affray,@fr1
affricate,{frIk@t
afraid,@fr1d
aft,#ft
after,#ft@
again,@gEn
agar,1g#
agate,{g@t
agave,@g1vI
age,1_
agenda,@_End@
agent,1_@nt
agglomerate,@glQm@r@t
agglutinate,@glutIn1t
aggregate,{grIg1t
aggress,@grEs
aggro,{gr5
aghast,@g#st
agile,{_2l
agin,@gIn
agitate,{_It1t
agnail,{gn1l
ago,@g5
agog,@gQg
agony,{g@nI
agora,{g@r@
agrarian,@gr8r7n
agree,@gri
agriculture,{grIkVlJ@
ague,1gju
aid,1d
aide,1d
ail,1l
aim,1m
air,8
aisle,2l
aitch,1J
ajar,@_#
akimbo,@kImb5
alabaster,{l@b#st@
alacrity,@l{kr@tI
alarm,@l#m
alb,{lb
albatross,{lb@trQs
albeit,$lbiIt
albino,{lbin5
album,{lb@m
albumen,{lbjUmIn
alchemy,{lk@mI
alcohol,{lk@hQl
alcove,{lk5v
alder,$ld@
ale,1l
alert,@l3t
alexandrine,{lIgz{ndr2n
alexia,1lEks7
alga,{lg@
algebra,{l_Ibr@
algorithm,{lg@rID@m
alias,1l7s
alibi,{lIb2
alien,1lj@n
align,@l2n
aliment,{lIm@nt
alimony,{lIm@nI
alkali,{lk@l2
all,$l
allay,@l1
allege,@lE_
allegiance,@li_@ns
allegory,{lIg@rI
allergy,{l@_I
alleviate,@livI1t
alley,{lI
alligator,{lIg1t@
alliterate,@lIt@r1t
allocate,{l5k1t
allopathy,@lQp@TI
allow,@l6
alloy,@l4
allure,@lj9
alluvium,@luvj@m
ally,@l2
almanac,$lm@n{k
almond,#m@nd
almoner,#m@n@
almost,$lm5st
alms,#mz
aloe,{l5
alone,@l5n
aloof,@luf
alopecia,{l@piS@
alp,{lp
alpaca,{lp{k@
alpha,{lf@
alphabet,{lf@bEt
alpine,{lp2n
also,$ls5
altar,$lt@
alter,$lt@
altercate,$lt@k1t
alternate,$lt3n@t
altitude,{ltItjud
altruism,{ltrUIz@m
alum,{l@m
aluminium,{ljUmInj@m
aluminum,@lumIn@m
alumna,@lVmn@
alumnus,@lVmn@s
alveolar,{lv7l@
alyssum,{lIs@m
amah,#m@
amalgam,@m{lg@m
amanuensis,@m{njUEnsIs
amaryllis,{m@rIlIs
amass,@m{s
amateur,{m@t@
amatory,{m@t@rI
amaze,@m1z
amazon,{m@z@n
ambassador,{mb{s@d@
amber,{mb@
ambergris,{mb@gris
ambient,{mb7nt
ambiguous,{mbIgj9s
ambit,{mbIt
ambition,{mbIS@n
ambivalent,{mbIv@l@nt
amble,{mb@l
ambrosia,{mbr5zj@
ambuscade,{mb@sk1d
ambush,{mbUS
ameliorate,@milj@r1t
amenable,@min@b@l
amend,@mEnd
amenity,@minItI
amethyst,{mITIst
amiable,1mj@b@l
amicable,{mIk@b@l
amir,@m7
amity,{m@tI
ammonia,@m5nj@
ammonite,{m@n2t
ammunition,{mjUnIS@n
amnesia,{mnizj@
amnesty,{mn@stI
amoeba,@mib@
amok,@mQk
among,@mVN
amorous,{m@r@s
amortize,@m$t2z
amount,@m6nt
amp,{mp
ampere,{mp8
ampersand,{mp@s{nd
amphetamine,{mfEt@min
amphibian,{mfIb7n
amphora,{mf@r@
ample,{mp@l
amputate,{mpjUt1t
amuck,@mVk
amulet,{mjUlIt
amuse,@mjuz
an,{n
anaconda,{n@kQnd@
anaemia,@nimj@
anaemic,@nimIk
anaesthesia,{nIsTizj@
analecta,{n@lEkt@
analgesia,{n{l_izj@
analogy,@n{l@_I
analysis,@n{l@sIs
anapaest,{n@pist
anarchy,{n@kI
anathema,@n{T@m@
anatomy,@n{t@mI
ancestor,{nsEst@
anchor,{Nk@
anchorite,{Nk@r2t
anchovy,{nJ@vI
ancient,1nS@nt
ancillary,{nsIl@rI
and,@nd
andiron,{nd2@n
androgyne,{ndr@_2n
anecdote,{nIkd5t
anemone,@nEm@nI
anent,@nEnt
aneroid,{n@r4d
angel,1n_@l
angelica,{n_ElIk@
angelus,{n_@l@s
anger,{Ng@
angina,{n_2n@
angle,{Ng@l
angora,{Ng$r@
angostura,{Ng@stj9r@
angry,{NgrI
angst,{Nst
anguish,{NgwIS
aniline,{nIlin
animadvert,{nIm{dv3t
animal,{nIm@l
animalcule,{nIm{lkjul
animate,{nIm@t
animism,{nImIz@m
animus,{nIm@s
anis,{nis
anise,{nIs
ankle,{Nk@l
anna,{n@
anneal,@nil
annex,@nEks
annexe,{nEks
annihilate,@n2@l1t
anniversary,{nIv3s@rI
announce,@n6ns
annoy,@n4
annual,{nj9l
annular,{njUl@
annunciate,@nVnsI1t
anode,{n5d
anodyne,{n5d2n
anoint,@n4nt
anomaly,@nQm@lI
anon,@nQn
anonym,{n@nIm
anopheles,@nQfIliz
anorexia,{n@rEks7
answer,#ns@
ant,{nt
antagonism,{nt{g@nIz@m
ante,{ntI
antelope,{ntIl5p
antenna,{ntEn@
anterior,{nt7r7
anthem,{nT@m
anther,{nT@
anthracite,{nTr@s2t
anthrax,{nTr{ks
anticipate,{ntIsIp1t
antics,{ntIks
antidote,{ntId5t
antimony,{ntIm@nI
antipodes,{ntIp@diz
antique,{ntik
antirrhinum,{ntIr2n@m
antler,{ntl@
antonym,{nt5nIm
anus,1n@s
anvil,{nvIl
anxious,{NkS@s
any,Eni
aorta,1$t@
apache,@p{S
apartheid,@p#th1t
ape,1p
aperient,@p7r7nt
aperitif,@pEr@tiv
aperture,{p@tj9
apex,1pEks
aphasia,@f1zj@
aphid,1fId
aphis,1fIs
aphorism,{f@rIz@m
apiary,1pj@rI
aplomb,@plQm
apocalypse,@pQk@lIps
apocryphal,@pQkrIf@l
apogee,{p5_i
apologia,{p@l5_7
apology,@pQl@_I
apoplexy,{p5plEksI
apostasy,@pQst@sI
apostle,@pQs@l
apostrophe,@pQstr@fI
apothecary,@pQT@k@rI
apothegm,{p@TEm
apotheosis,@pQTI5sIs
appal,@p$l
appanage,{p@nI_
apparatus,{p@r1t@s
apparel,@p{r@l
apparition,{p@rIS@n
appeal,@pil
appear,@p7
appease,@piz
appellation,{p@l1S@n
append,@pEnd
appetite,{pIt2t
applaud,@pl$d
apple,{p@l
apply,@pl2
appoint,@p4nt
apportion,@p$S@n
appose,{p5z
appraise,@pr1z
appreciate,@priSI1t
apprehend,{prIhEnd
apprentice,@prEntIs
apprise,@pr2z
approach,@pr5J
approbate,{pr5b1t
appropriate,@pr5pr7t
approve,@pruv
approximate,@prQksIm@t
appurtenance,@p3tIn@ns
apricot,1prIkQt
april,1pr@l
apron,1pr@n
apropos,{pr@p5
apse,{ps
apt,{pt
aquarium,@kw8r7m
aquatic,@kw{tIk
aquavit,{kw@vIt
aqueous,1kw7s
aquiline,{kwIl2n
arable,{r@b@l
arachnid,@r{knId
arbiter,#bIt@
arbitrate,#bItr1t
arboretum,#b@rit@m
arbour,#b@
arc,#k
arcane,#k1n
arch,#J
archaic,#k1Ik
archetype,#kIt2p
archimandrite,#kIm{ndr2t
archipelago,#kIpElIg5
architect,#kItEkt
arctic,#ktIk
ardent,#d@nt
ardour,#d@
arduous,#dj9s
are,#
area,8r7
areca,{rIk@
arena,@rin@
argent,#_@nt
argon,#gQn
argot,#g5
argue,#gju
aria,#r7
arid,{rId
aristocrat,{rIst@kr{t
arithmetic,{rITmEtIk
ark,#k
arm,#m
armada,#m#d@
armadillo,#m@dIl5
armature,#m@tj9
armistice,#mIstIs
army,#mI
arnica,#nIk@
aroma,@r5m@
arquebus,#kwIb@s
arrack,{r@k
arraign,@r1n
arrange,@r1n_
arrant,{r@nt
arras,{r@s
array,@r1
arrest,@rEst
arrive,@r2v
arrogate,{r5g1t
arrow,{r5
arse,#s
arsenal,#s@n@l
arsenic,#sEnIk
arson,#s@n
art,#t
artery,#t@rI
arthritis,#Tr2tIs
artichoke,#tIJ5k
article,#tIk@l
articulate,#tIkjUl@t
artifact,#tIf{kt
artifice,#tIfIs
artillery,#tIl@rI
arum,8r@m
as,{z
asbestos,{sbEstQs
ascend,@sEnd
ascent,@sEnt
ascetic,@sEtIk
ash,{S
asinine,{sIn2n
ask,#sk
askance,@sk{ns
asp,{sp
asparagus,@sp{r@g@s
aspect,{spEkt
aspen,{spIn
asperity,{spEr@tI
asperse,@sp3s
asphalt,{sf{lt
asphodel,{sf@dEl
asphyxia,@sfIks7
aspic,{spIk
aspidistra,{spIdIstr@
aspirate,{sp@r1t
aspire,@sp2@
aspirin,{sp@rIn
ass,{s
assail,@s1l
assassin,@s{sIn
assault,@s$lt
assay,@s1
assegai,{s@g2
assemble,@sEmb@l
assent,@sEnt
assert,@s3t
assess,@sEs
asset,{sEt
asseverate,@sEv@r1t
assiduity,{sIdju@tI
assiduous,@sIdj9s
assist,@sIst
assize,@s2z
associate,@s5SI1t
assonance,{s5n@ns
assort,@s$t
assuage,@sw1_
assume,@sjum
aster,{st@
asterisk,{st@rIsk
asteroid,{st@r4d
asthma,{sm@
astigmatism,@stIgm@tIz@m
astonish,@stQnIS
astound,@st6nd
astrakhan,{str@k{n
astral,{str@l
astrolabe,{str5l1b
astronaut,{str@n$t
astute,@stjut
asylum,@s2l@m
at,{t
atabrine,{t@brin
atavism,{t@vIz@m
athlete,{Tlit
atlantic,@tl{ntIk
atlas,{tl@s
atoll,{tQl
atom,{t@m
atone,@t5n
atrocious,@tr5S@s
atrophy,{tr@fI
attach,@t{J
attack,@t{k
attain,@t1n
attainder,@t1nd@
attar,{t@
attempt,@tEmpt
attend,@tEnd
attenuate,@tEnjU1t
attest,@tEst
attic,{tIk
attire,@t2@
attitude,{tItjud
attorn,@t3n
attract,@tr{kt
attrition,@trIS@n
aubergine,5b@Zin
auburn,$b@n
auction,$kS@n
audacious,$d1S@s
audible,$d@b@l
audience,$dj@ns
audio,$dI5
audit,$dIt
auger,$g@
aught,$t
augment,$gmEnt
augur,$g@
august,$g@st
auk,$k
aunt,#nt
aura,$r@
aural,$r@l
aureola,$rI5l@
aureole,$rI5l
auricle,$rIk@l
auriferous,$rIf@r@s
aurora,$r$r@
auscultate,$sk@lt1t
auspicious,$spIS@s
austere,Qst7
autarchy,$t#kI
autarky,$t#kI
authentic,$TEntIk
author,$T@
autism,$tIz@m
auto,9t5
automat,$t5m{t
automate,$t5m1t
autopsy,$t@psI
autumn,$t@m
auxiliary,$gzIlj@rI
avail,@v1l
avalanche,{v@l#nJ
avarice,{v@rIs
avatar,{v@t#
avenge,@vEn_
avens,1v@nz
avenue,{v@nju
aver,@v3
average,{v@rI_
averse,@v3s
avert,@v3t
aviary,1vj@rI
avid,{vId
avocado,{v5k#d5
avocet,{v5sEt
avoid,@v4d
avuncular,@vVNkjUl@
await,@w1t
award,@w$d
aware,@w8
awe,$
awkward,$kw@d
awl,$l
awning,$nIN
axe,{ks
axiom,{ks7m
axis,{ksIs
axle,{ks@l
axolotl,{ks@lQt@l
ayah,2@
aye,2
azalea,@z1lj@
azimuth,{zIm@T
azure,{Z@
baa,b#
babble,b{b@l
babe,b1b
babel,b1b@l
baboon,b@bun
babu,b#bu
baby,b1bI
baccalaureate,b{k@l$r7t
bacchanal,b{k@n@l
baccy,b{kI
bachelor,b{J@l@
bacillus,b@sIl@s
back,b{k
bacon,b1k@n
bacterium,b{kt7r7m
bad,b{d
badge,b{_
badger,b{_@
badminton,b{dmInt@n
baffle,b{f@l
bag,b{g
bagatelle,b{g@tEl
bagnio,b#nj5
bail,b1l
bailiff,b1lIf
bairn,b8n
bait,b1t
baize,b1z
bake,b1k
bakelite,b1k@l2t
baksheesh,b{kSiS
balaclava,b{l@kl#v@
balalaika,b{l@l2k@
balance,b{l@ns
balcony,b{lk@nI
bald,b$ld
baldric,b$ldrIk
bale,b1l
balk,b$k
ball,b$l
ballad,b{l@d
ballade,b{l#d
ballast,b{l@st
ballerina,b{l@rin@
ballet,b{l1
ballista,b@lIst@
balloon,b@lun
ballot,b{l@t
bally,b{lI
balm,b#m
balsa,bQls@
balsam,b$ls@m
baluster,b{l@st@
balustrade,b{l@str1d
bamboo,b{mbu
bamboozle,b{mbuz@l
ban,b{n
banal,b@n#l
banana,b@n#n@
band,b{nd
bandanna,b{nd{n@
bandeau,b{nd5
bandit,b{ndIt
bandoleer,b{nd5l7
bandy,b{ndI
bane,b1n
bang,b{N
bangle,b{Ng@l
banian,b{n7n
banish,b{nIS
banister,b{nIst@
banjo,b{n_5
bank,b{Nk
bankrupt,b{NkrVpt
banner,b{n@
bannock,b{n@k
banns,b{nz
banquet,b{NkwIt
banshee,b{nSi
bantam,b{nt@m
banter,b{nt@
baobab,b15b{b
baptism,b{ptIz@m
bar,b#
barb,b#b
barbarian,b#b8r7n
barbarism,b#b@rIz@m
barbarous,b#b@r@s
barbecue,b#bIkju
barbel,b#b@l
barber,b#b@
barbican,b#bIk@n
barbitone,b#bIt5n
barbiturate,b#bItjUr@t
barcarole,b#k@r5l
bard,b#d
bare,b8
bargain,b#gIn
barge,b#_
baritone,b{rIt5n
barium,b8r7m
bark,b#k
barley,b#lI
barm,b#m
barmy,b#mI
barn,b#n
barnacle,b#n@k@l
baron,b{r@n
baroque,b@rQk
barouche,b@ruS
barrack,b{r@k
barracuda,b{r@kud@
barrel,b{r@l
barren,b{r@n
barricade,b{rIk1d
barrier,b{r7
barrow,b{r5
barter,b#t@
basalt,b{s$lt
bascule,b{skjul
base,b1s
bash,b{S
bashful,b{SfUl
basil,b{z@l
basilica,b@zIlIk@
basilisk,b{zIlIsk
basin,b1s@n
basis,b1sIs
bask,b#sk
basket,b#skIt
bass,b{s
basset,b{sIt
bassinet,b{sInEt
bassoon,b@sun
bast,b{st
bastard,b#st@d
baste,b1st
bastinado,b{stIn#d5
bastion,b{st7n
bat,b{t
batch,b{J
bate,b1t
bath,b#T
bathos,b1TQs
batik,b@tik
batiste,b{tist
bats,b{ts
battalion,b@t{lj@n
batten,b{t@n
battery,b{t@rI
batting,b{tIN
battle,b{t@l
bauble,b$b@l
bauxite,b$ks2t
bawbee,b$bi
bawd,b$d
bawl,b$l
bay,b1
bayonet,b1@nIt
bazaar,b@z#
bazooka,b@zuk@
be,bi
beach,biJ
beacon,bik@n
bead,bid
beadle,bid@l
beagle,big@l
beak,bik
beaker,bik@
beam,bim
bean,bin
beano,bin5
bear,b8
beard,b7d
beast,bist
beat,bit
beau,b5
beaut,bjut
beauty,bjutI
beaver,biv@
bebop,bibQp
because,bIkQz
beck,bEk
beckon,bEk@n
become,bIkVm
bed,bEd
bedlam,bEdl@m
bedouin,bEdUIn
bee,bi
beech,biJ
beef,bif
beep,bip
beer,b7
beet,bit
beetle,bit@l
before,bIf$
beg,bEg
begin,bIgIn
begone,bIgQn
begum,b1g@m
behalf,bIh#f
behave,bIh1v
behest,bIhEst
behind,bIh2nd
behold,bIh5ld
behove,bIh5v
beige,b1Z
belch,bElJ
beldame,bEld@m
beleaguer,bIlig@
believe,bIliv
bell,bEl
bellicose,bElIk5s
belligerent,bIlI_@r@nt
bellow,bEl5
bellows,bEl5z
belly,bElI
belong,bIlQN
below,bIl5
belt,bElt
ben,bEn
bench,bEnJ
bend,bEnd
bends,bEndz
beneath,bIniT
benedick,bEnIdIk
benediction,bEnIdIkS@n
benefaction,bEnIf{kS@n
benefactor,bEnIf{kt@
benefice,bEnIfIs
benefit,bEnIfIt
benevolent,bInEv@l@nt
benign,bIn2n
bent,bEnt
benzene,bEnzin
benzine,bEnzin
benzol,bEnzQl
bequeath,bIkwiD
bereave,bIriv
beret,bEr1
beriberi,bErIbErI
berk,b3k
berry,bErI
berth,b3T
beryl,bEr@l
beseech,bIsiJ
beseem,bIsim
besom,biz@m
bet,bEt
beta,bit@
betel,bit@l
bethel,bET@l
betide,bIt2d
betray,bItr1
between,bItwin
betwixt,bItwIkst
bevel,bEv@l
beverage,bEv@rI_
bevy,bEvI
beware,bIw8
bewilder,bIwIld@
bey,b1
beyond,bIjQnd
bias,b2@s
bib,bIb
bible,b2b@l
bibulous,bIbjUl@s
biceps,b2sEps
bicker,bIk@
bid,bId
bide,b2d
bier,b7
biff,bIf
big,bIg
bight,b2t
bigot,bIg@t
bikini,bIkinI
bile,b2l
bilge,bIl_
bilharzia,bIlh#z7
bilk,bIlk
bill,bIl
billet,bIlIt
billiard,bIlj@d
billion,bIlj@n
billow,bIl5
billy,bIlI
biltong,bIltQN
bin,bIn
binary,b2n@rI
bind,b2nd
bine,b2n
binge,bIn_
bingo,bINg5
binnacle,bIn@k@l
bionic,b2QnIk
biotic,b2QtIk
biped,b2pEd
birch,b3J
bird,b3d
biretta,bIrEt@
biro,b2@r5
biscuit,bIskIt
bishop,bIS@p
bishopric,bIS@prIk
bismuth,bIzm@T
bison,b2s@n
bisque,bIsk
bistro,bistr5
bit,bIt
bitch,bIJ
bite,b2t
bitter,bIt@
bittern,bIt@n
bitumen,bItjUmIn
bizarre,bIz#
blab,bl{b
black,bl{k
bladder,bl{d@
blade,bl1d
blae,bl1
blah,bl#
blame,bl1m
blanch,bl#nJ
bland,bl{nd
blandish,bl{ndIS
blank,bl{Nk
blanket,bl{NkIt
blare,bl8
blarney,bl#nI
blase,bl#z1
blaspheme,bl{sfim
blast,bl#st
blatant,bl1t@nt
blather,bl{D@
blaze,bl1z
blazes,bl1zIz
blazon,bl1z@n
bleach,bliJ
bleak,blik
bleary,bl7rI
bleat,blit
bleed,blid
bleep,blip
blemish,blEmIS
blench,blEnJ
blend,blEnd
bless,blEs
blether,blED@
blight,bl2t
blimp,blImp
blind,bl2nd
blink,blINk
blip,blIp
bliss,blIs
blister,blIst@
blithe,bl2D
blitz,blIts
blizzard,blIz@d
bloat,bl5t
blob,blQb
block,blQk
bloke,bl5k
blond,blQnd
blonde,blQnd
blood,blVd
bloom,blum
blossom,blQs@m
blot,blQt
blotch,blQJ
blotto,blQt5
blouse,bl6z
blow,bl5
blowzy,bl6zI
blubber,blVb@
bludgeon,blV_@n
blue,blu
blues,bluz
bluff,blVf
blunder,blVnd@
blunt,blVnt
blur,bl3
blurb,bl3b
blush,blVS
bluster,blVst@
boa,b5@
boar,b$
board,b$d
boast,b5st
boat,b5t
bob,bQb
bobbin,bQbIn
bobby,bQbI
bock,bQk
bod,bQd
bode,b5d
bodice,bQdIs
bodkin,bQdkIn
body,bQdI
boffin,bQfIn
bog,bQg
bogey,b5gI
boggle,bQg@l
bogus,b5g@s
boil,b4l
boisterous,b4st@r@s
bold,b5ld
bole,b5l
bolero,bQl@r5
boll,b5l
bollard,bQl#d
bollocks,bQl@ks
boloney,b@l5nI
bolshy,bQlSI
bolster,b5lst@
bolt,b5lt
bomb,bQm
bombard,bQmb#d
bombast,bQmb{st
bonanza,b5n{nz@
bond,bQnd
bone,b5n
bongo,bQNg5
bonito,b@nit5
bonkers,bQNk@z
bonnet,bQnIt
bonny,bQnI
bonus,b5n@s
bonzer,bQnz@
boo,bu
boob,bub
boodle,bud@l
boogie,bugI
boohoo,buhu
book,bUk
boom,bum
boomerang,bum@r{N
boon,bun
boor,b9
boost,bust
boot,but
booth,buD
booty,butI
booze,buz
boracic,b@r{sIk
borage,bQrI_
borax,b$r{ks
bordello,b$dEl5
border,b$d@
bore,b$
borough,bVr@
borrow,bQr5
borsch,b$S
borscht,b$st
borstal,b$st@l
borzoi,b$z4
bosk,bQsk
bosom,bUz@m
boss,bQs
botany,bQt@nI
botch,bQJ
both,b5T
bother,bQD@
bottle,bQt@l
bottom,bQt@m
botulism,bQtjUlIz@m
bough,b6
boulder,b5ld@
bounce,b6ns
bound,b6nd
bounty,b6ntI
bourbon,b3b@n
bourn,b$n
bourse,b9s
bout,b6t
bovine,b5v2n
bovver,bQv@
bow,b6
bowel,b6@l
bower,b6@
bowl,b5l
bowler,b5l@
bowser,b6z@
box,bQks
boy,b4
brace,br1s
bracken,br{k@n
bracket,br{kIt
bract,br{kt
brad,br{d
bradawl,br{d$l
brae,br1
brag,br{g
braggadocio,br{g@d5JI5
braid,br1d
brain,br1n
braise,br1z
brake,br1k
bramble,br{mb@l
bran,br{n
branch,br#nJ
brand,br{nd
brandish,br{ndIS
brandy,br{ndI
brash,br{S
brass,br#s
brassard,br{s#d
brasserie,br{s@rI
brat,br{t
bravado,br@v#d5
brave,br1v
bravura,br@v9r@
brawl,br$l
brawn,br$n
bray,br1
braze,br1z
brazier,br1zj@
breach,briJ
bread,brEd
break,br1k
bream,brim
breast,brEst
breath,brET
breech,briJ
breed,brid
breeze,briz
brethren,brEDr@n
breve,briv
brevet,brEvIt
breviary,brivj@rI
brew,bru
briar,br2@
bribe,br2b
brick,brIk
bride,br2d
bridge,brI_
bridle,br2d@l
brief,brif
brig,brIg
brigade,brIg1d
brigand,brIg@nd
brigantine,brIg@ntin
bright,br2t
brill,brIl
brilliant,brIlj@nt
brim,brIm
brine,br2n
bring,brIN
brink,brINk
brisk,brIsk
brisket,brIskIt
bristle,brIs@l
brittle,brIt@l
broach,br5J
broad,bi#51di
brocade,br5k1d
broccoli,brQk@lI
brochure,br5S@
brogue,br5g
broil,br4l
broke,br5k
broker,br5k@
brolly,brQlI
bromine,br5min
bronchia,brQNk7
bronchus,brQNk@s
bronco,brQNk5
bronze,brQnz
brooch,br5J
brood,brud
brook,brUk
broom,brum
broth,brQT
brothel,brQT@l
brother,brVD@
brougham,bru@m
brow,br6
brown,br6n
browse,br6z
bruin,bruIn
bruise,bruz
brunette,brunEt
brunt,brVnt
brush,brVS
brusque,brusk
brute,brut
bubble,bVb@l
buccaneer,bVk@n7
buck,bVk
bucket,bVkIt
buckle,bVk@l
bucolic,bjukQlIk
bud,bVd
buddy,bVdI
budge,bV_
budgerigar,bV_@rIg#
budget,bV_It
budgie,bV_I
buff,bVf
buffalo,bVf@l5
buffet,bUf1
buffoon,b@fun
bug,bVg
bugaboo,bVg@bu
bugle,bjug@l
buhl,bul
build,bIld
bulb,bVlb
bulbul,bUlbUl
bulge,bVl_
bulk,bVlk
bull,bUl
bullet,bUlIt
bulletin,bUl@tIn
bullion,bUlj@n
bullock,bUl@k
bully,bUlI
bulrush,bUlrVS
bulwark,bUlw@k
bum,bVm
bumble,bVmb@l
bumf,bVmf
bump,bVmp
bumpkin,bVmpkIn
bun,bVn
bunch,bVnJ
bundle,bVnd@l
bung,bVN
bungalow,bVNg@l5
bungle,bVNg@l
bunion,bVnj@n
bunk,bVNk
bunker,bVNk@
bunkum,bVNk@m
bunny,bVnI
buoy,b4
burble,b3b@l
burden,b3d@n
bureau,bj9r5
burette,bj9rEt
burg,b3g
burgeon,b3_@n
burgh,bVr@
burgle,b3g@l
burgomaster,b3g5m#st@
burke,b3k
burlap,b3l{p
burlesque,b3lEsk
burly,b3lI
burn,b3n
burnish,b3nIS
burnous,b3nus
burp,b3p
burr,b3
burro,bUr5
burrow,bVr5
bursar,b3s@
burst,b3st
burthen,b3D@n
burton,b3t@n
bury,bErI
bus,bVs
busby,bVzbI
bush,bUS
bushel,bUS@l
busk,bVsk
bust,bVst
bustard,bVst@d
bustle,bVs@l
busy,bIzI
but,bVt
butane,bjut1n
butch,bUJ
butcher,bUJ@
butler,bVtl@
butt,bVt
butter,bVt@
buttock,bVt@k
button,bVt@n
buttress,bVtrIs
buxom,bVks@m
buy,b2
buzz,bVz
buzzard,bVz@d
by,b2
byre,b2@
cab,k{b
cabal,k@b{l
cabaret,k{b@r1
cabbage,k{bI_
caber,k1b@
cabin,k{bIn
cabinet,k{bInIt
cable,k1b@l
caboodle,k@bud@l
caboose,k@bus
cabriolet,k{br7l1
cacanny,k#k{nI
cacao,k@k#5
cache,k{S
cachet,k{S1
cackle,k{k@l
cactus,k{kt@s
cad,k{d
cadaver,k@d#v@
caddie,k{dI
caddy,k{dI
cadence,k1d@ns
cadet,k@dEt
cadge,k{_
cadmium,k{dm7m
cadre,k#d@
caesura,sIzj9r@
cafe,k{f1
cafeteria,k{fIt7r7
caff,k{f
caffeine,k{fin
caftan,k{ft{n
cage,k1_
cahoots,k@huts
caiman,k1m@n
caique,k2ik
cairn,k8n
caisson,k1sQn
cajole,k@_5l
cake,k1k
calabash,k{l@b{S
calaboose,k{l@bus
calamine,k{l@m2n
calamity,k@l{m@tI
calcium,k{ls7m
calculus,k{lkjUl@s
calendar,k{lInd@
calender,k{lInd@
calends,k{lIndz
calf,k#f
calibre,k{lIb@
calico,k{lIk5
caliph,k1lIf
calk,k$k
call,k$l
calla,k{l@
calligraphy,k@lIgr@fI
calliope,k@l2@pI
calliper,k{lIp@
callisthenic,k{lIsTEnIk
callous,k{l@s
callow,k{l5
